WeSing.WeDance.WeStealThings.,Jason Mraz, 2008-05-13 , Import , Audio CD ,9.1,112331人评价
VivaLaVida,Coldplay, 2008-06-17 , 专辑 , CD ,8.7,108403人评价
华丽的冒险,陈绮贞, 2005-09-23 , 专辑 , CD ,8.9,83198人评价
范特西,周杰伦, 2001-09-14 , 专辑 , CD ,9.2,140938人评价
後。青春期的詩,五月天, 2008-10-23 , 专辑 , CD ,8.8,89947人评价
是时候,孙燕姿, 2011-03-08 , 专辑 , CD ,8.6,77637人评价
Lenka,Lenka, 2008-09-23 , 专辑 , Audio CD ,8.5,80473人评价
StartfromHere,王若琳, 2008-01-11 , 专辑 , CD ,8.7,72333人评价
旅行的意义,陈绮贞, 2004-02-02 , 单曲 , CD ,9.2,90609人评价
太阳,陈绮贞, 2009-01-22 , 专辑 , CD ,8.6,71195人评价
Once(Soundtrack),Glen Hansard和Marketa Irglova, 2007-05-22 , Soundtrack , CD ,9.1,69564人评价
NotGoingAnywhere,Keren Ann, 2004-08-24 , Import , Audio CD ,8.9,61613人评价
AmericanIdiot,Green Day, 2004-09-21 , Explicit Lyrics , Audio CD ,8.9,68125人评价
思念是一种病,张震岳 Csun Yuk, 2007-07-06 , 专辑 , CD ,8.8,71925人评价
無與倫比的美麗,苏打绿, 2007-11-02 , 专辑 , CD ,8.6,79714人评价
亲爱的...我还不知道,张悬, 2007-07-20 , 专辑 , CD ,8.5,60015人评价
城市,张悬, 2009-05-22 , 专辑 , CD ,8.3,58160人评价
O,Damien Rice, 2003 , 专辑 , CD ,9.1,50919人评价
WakeMeUpWhenSeptemberEnds,Green Day, 2005-06-13 , 单曲 , CD ,9.3,52229人评价
叶惠美,周杰伦, 2003-07-31 , 专辑 , CD ,8.5,86112人评价
七里香,周杰伦, 2004 , 专辑 , CD ,8.1,121726人评价
21,Adele, 2011-02-01 , 专辑 , CD ,9.0,64713人评价
MyLifeWill...,张悬, 2006-06-09 , 专辑 , CD ,8.6,52667人评价
寓言,王菲, 2000 , 专辑 , CD ,9.3,58828人评价
你在煩惱什麼,苏打绿, 2011-11-11 , 专辑 , CD ,8.9,53749人评价
感官/世界,林宥嘉, 2009-10-30 , 专辑 , CD ,8.7,56041人评价
Nevermind,Nirvana, 1991 , 专辑 , CD ,9.2,54090人评价
八度空间,周杰伦, 2002-07-19 , 专辑 , CD ,8.5,71696人评价
Jay,周杰伦, 2000-11-13 , 专辑 , Audio CD ,8.9,71450人评价
Parachutes,Coldplay, 2000-07-10 , 专辑 , CD ,9.0,49935人评价
我要的幸福,孙燕姿, 2000-12-7 , 专辑 , CD ,8.9,53846人评价
还是会寂寞,陈绮贞, 2000 , 专辑 , CD ,9.0,46739人评价
LetGo,Avril Lavigne, 2002 , Enhanced , Audio CD ,8.8,51449人评价
十一月的萧邦,周杰伦, 2005-11-01 , 专辑 , CD ,7.9,77982人评价
橙月,方大同, 2008-12-19 , 专辑 , CD ,8.5,46479人评价
小宇宙,苏打绿, 2006-10-20 , 专辑 , CD ,8.7,48416人评价
若你碰到他,蔡健雅, 2009-08-19 , 专辑 , CD ,8.0,49208人评价
Lady&Bird,Lady & Bird, 2003 , Import , Audio CD ,8.8,42709人评价
万能青年旅店,万能青年旅店, 2010-11-12 , 专辑 , CD ,9.1,61846人评价
Meteora,Linkin Park, 2003-03-25 , Enhanced , Audio CD ,9.0,43427人评价
BackToBedlam,James Blunt, 2004 , Explicit Lyrics , Audio CD ,8.9,42274人评价
苏打绿同名专辑,苏打绿和蘇打綠, 2005年9月 , 国语 , CD ,8.6,50894人评价
静茹&情歌别再为他流泪,梁静茹, 2009-01-16 , 专辑 , Audio CD ,8.4,45024人评价
美妙生活,林宥嘉, 2011-05-06 , 专辑 , CD ,8.6,45611人评价
LeFabuleuxdestind'AméliePoulain,Yann Tiersen, 2001-04-23 , Soundtrack , Audio CD ,9.3,42505人评价
Joanna&王若琳,王若琳, 2009-01-16 , 专辑 , CD ,8.1,42279人评价
APleaEnVendredi,Tamas Wells, 2006 , Import , Audio CD ,9.0,38744人评价
ToHebe,田馥甄 Hebe, 2010-09-03 , 专辑 , CD ,8.0,43440人评价
逆光,孙燕姿, 2007-03-22 , Import , CD ,8.3,58448人评价
只爱陌生人,王菲, 1999-09-10 , Import , CD ,9.3,47702人评价
MusicForTourists,Chris Garneau, 2007-01-23 , 引进版 , Audio CD ,8.7,38492人评价
TheMoment,孙燕姿, 2003-08-22 , 专辑 , CD ,9.0,40468人评价
七,陈奕迅, 2003-11-20 , 选集 , CD ,9.4,40554人评价
春·日光,苏打绿, 2009-05-08 , 专辑 , CD ,8.0,43386人评价
100种生活,盧廣仲, 2008-5-27 , 专辑 , CD ,8.3,40553人评价
崇拜,梁静茹, 2007-11-09 , 专辑 , CD ,8.4,45739人评价
陈绮贞精选,陈绮贞, 2005 , 选集 , CD ,9.2,36055人评价
菊次郎の夏,Joe Hisaishi, 1999-05-19 , 专辑 , CD ,9.4,44895人评价
Fearless,Taylor Swift, 2008-11-11 , Enhanced , Audio CD ,8.4,47993人评价
